,movie,year,imdb,metascore,votes,n_imdb
0,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1456431,88.0
1,A Beautiful Mind,2001,8.2,72,745073,82.0
2,"Monsters, Inc.",2001,8.1,78,712553,81.0
3,Donnie Darko,2001,8.1,88,681140,81.0
4,Amélie,2001,8.3,69,633316,83.0
5,Harry Potter and the Sorcerer's Stone,2001,7.6,64,547172,76.0
6,Shrek,2001,7.9,84,541542,79.0
7,Spirited Away,2001,8.6,96,532765,86.0
8,Ocean's Eleven,2001,7.8,74,462974,78.0
9,Training Day,2001,7.7,69,347742,77.0
10,Black Hawk Down,2001,7.7,74,330978,77.0
11,The Fast and the Furious,2001,6.8,58,311932,68.0
12,The Others,2001,7.6,74,306901,76.0
13,Pearl Harbor,2001,6.1,44,287158,61.0
14,Mulholland Drive,2001,8.0,83,283019,80.0
15,The Mummy Returns,2001,6.3,48,277485,63.0
16,A.I. Artificial Intelligence,2001,7.1,65,269231,71.0
17,Jurassic Park III,2001,5.9,42,262711,59.0
18,Moulin Rouge!,2001,7.6,66,247403,76.0
19,The Royal Tenenbaums,2001,7.6,76,239987,76.0
20,Hannibal,2001,6.8,57,231868,68.0
21,Vanilla Sky,2001,6.9,45,229631,69.0
22,Zoolander,2001,6.6,61,226232,66.0
23,American Pie 2,2001,6.4,43,220747,64.0
24,Blow,2001,7.6,52,219717,76.0
25,Enemy at the Gates,2001,7.6,53,218494,76.0
26,Bridget Jones's Diary,2001,6.7,66,200184,67.0
27,Planet of the Apes,2001,5.7,50,198445,57.0
28,Lara Croft: Tomb Raider,2001,5.8,33,181360,58.0
29,Rush Hour 2,2001,6.6,48,180994,66.0
30,Swordfish,2001,6.5,32,166859,65.0
31,K-PAX,2001,7.4,49,164812,74.0
32,Legally Blonde,2001,6.2,59,157597,62.0
33,A Knight's Tale,2001,6.9,56,153940,69.0
34,Jay and Silent Bob Strike Back,2001,6.9,51,138725,69.0
35,From Hell,2001,6.8,54,137144,68.0
36,Scary Movie 2,2001,5.3,29,135244,53.0
37,I Am Sam,2001,7.6,28,133703,76.0
38,Spy Game,2001,7.1,63,132828,71.0
39,Shallow Hal,2001,5.9,48,119147,59.0
40,The Princess Diaries,2001,6.3,52,112430,63.0
41,The Score,2001,6.8,71,111314,68.0
42,Evolution,2001,6.1,40,110880,61.0
43,Ghost World,2001,7.4,88,105362,74.0
44,Y Tu Mamá También,2001,7.7,88,103497,77.0
45,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1456431,88.0
46,A Beautiful Mind,2001,8.2,72,745073,82.0
47,"Monsters, Inc.",2001,8.1,78,712553,81.0
48,Donnie Darko,2001,8.1,88,681140,81.0
49,Amélie,2001,8.3,69,633316,83.0
50,Harry Potter and the Sorcerer's Stone,2001,7.6,64,547172,76.0
51,Shrek,2001,7.9,84,541542,79.0
52,Spirited Away,2001,8.6,96,532765,86.0
53,Ocean's Eleven,2001,7.8,74,462974,78.0
54,Training Day,2001,7.7,69,347742,77.0
55,Black Hawk Down,2001,7.7,74,330978,77.0
56,The Fast and the Furious,2001,6.8,58,311932,68.0
57,The Others,2001,7.6,74,306901,76.0
58,Pearl Harbor,2001,6.1,44,287158,61.0
59,Mulholland Drive,2001,8.0,83,283019,80.0
60,The Mummy Returns,2001,6.3,48,277485,63.0
61,A.I. Artificial Intelligence,2001,7.1,65,269231,71.0
62,Jurassic Park III,2001,5.9,42,262711,59.0
63,Moulin Rouge!,2001,7.6,66,247403,76.0
64,The Royal Tenenbaums,2001,7.6,76,239987,76.0
65,Hannibal,2001,6.8,57,231868,68.0
66,Vanilla Sky,2001,6.9,45,229631,69.0
67,Zoolander,2001,6.6,61,226232,66.0
68,American Pie 2,2001,6.4,43,220747,64.0
69,Blow,2001,7.6,52,219717,76.0
70,Enemy at the Gates,2001,7.6,53,218494,76.0
71,Bridget Jones's Diary,2001,6.7,66,200184,67.0
72,Planet of the Apes,2001,5.7,50,198445,57.0
73,Lara Croft: Tomb Raider,2001,5.8,33,181360,58.0
74,Rush Hour 2,2001,6.6,48,180994,66.0
75,Swordfish,2001,6.5,32,166859,65.0
76,K-PAX,2001,7.4,49,164812,74.0
77,Legally Blonde,2001,6.2,59,157597,62.0
78,A Knight's Tale,2001,6.9,56,153940,69.0
79,Jay and Silent Bob Strike Back,2001,6.9,51,138725,69.0
80,From Hell,2001,6.8,54,137144,68.0
81,Scary Movie 2,2001,5.3,29,135244,53.0
82,I Am Sam,2001,7.6,28,133703,76.0
83,Spy Game,2001,7.1,63,132828,71.0
84,Shallow Hal,2001,5.9,48,119147,59.0
85,The Princess Diaries,2001,6.3,52,112430,63.0
86,The Score,2001,6.8,71,111314,68.0
87,Evolution,2001,6.1,40,110880,61.0
88,Ghost World,2001,7.4,88,105362,74.0
89,Y Tu Mamá También,2001,7.7,88,103497,77.0
90,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1456431,88.0
91,A Beautiful Mind,2001,8.2,72,745073,82.0
92,"Monsters, Inc.",2001,8.1,78,712553,81.0
93,Donnie Darko,2001,8.1,88,681140,81.0
94,Amélie,2001,8.3,69,633316,83.0
95,Harry Potter and the Sorcerer's Stone,2001,7.6,64,547172,76.0
96,Shrek,2001,7.9,84,541542,79.0
97,Spirited Away,2001,8.6,96,532765,86.0
98,Ocean's Eleven,2001,7.8,74,462974,78.0
99,Training Day,2001,7.7,69,347742,77.0
100,Black Hawk Down,2001,7.7,74,330978,77.0
101,The Fast and the Furious,2001,6.8,58,311932,68.0
102,The Others,2001,7.6,74,306901,76.0
103,Pearl Harbor,2001,6.1,44,287158,61.0
104,Mulholland Drive,2001,8.0,83,283019,80.0
105,The Mummy Returns,2001,6.3,48,277485,63.0
106,A.I. Artificial Intelligence,2001,7.1,65,269231,71.0
107,Jurassic Park III,2001,5.9,42,262711,59.0
108,Moulin Rouge!,2001,7.6,66,247403,76.0
109,The Royal Tenenbaums,2001,7.6,76,239987,76.0
110,Hannibal,2001,6.8,57,231868,68.0
111,Vanilla Sky,2001,6.9,45,229631,69.0
112,Zoolander,2001,6.6,61,226232,66.0
113,American Pie 2,2001,6.4,43,220747,64.0
114,Blow,2001,7.6,52,219717,76.0
115,Enemy at the Gates,2001,7.6,53,218494,76.0
116,Bridget Jones's Diary,2001,6.7,66,200184,67.0
117,Planet of the Apes,2001,5.7,50,198445,57.0
118,Lara Croft: Tomb Raider,2001,5.8,33,181360,58.0
119,Rush Hour 2,2001,6.6,48,180994,66.0
120,Swordfish,2001,6.5,32,166859,65.0
121,K-PAX,2001,7.4,49,164812,74.0
122,Legally Blonde,2001,6.2,59,157597,62.0
123,A Knight's Tale,2001,6.9,56,153940,69.0
124,Jay and Silent Bob Strike Back,2001,6.9,51,138725,69.0
125,From Hell,2001,6.8,54,137144,68.0
126,Scary Movie 2,2001,5.3,29,135244,53.0
127,I Am Sam,2001,7.6,28,133703,76.0
128,Spy Game,2001,7.1,63,132828,71.0
129,Shallow Hal,2001,5.9,48,119147,59.0
130,The Princess Diaries,2001,6.3,52,112430,63.0
131,The Score,2001,6.8,71,111314,68.0
132,Evolution,2001,6.1,40,110880,61.0
133,Ghost World,2001,7.4,88,105362,74.0
134,Y Tu Mamá También,2001,7.7,88,103497,77.0
135,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1456431,88.0
136,A Beautiful Mind,2001,8.2,72,745073,82.0
137,"Monsters, Inc.",2001,8.1,78,712553,81.0
138,Donnie Darko,2001,8.1,88,681140,81.0
139,Amélie,2001,8.3,69,633316,83.0
140,Harry Potter and the Sorcerer's Stone,2001,7.6,64,547172,76.0
141,Shrek,2001,7.9,84,541542,79.0
142,Spirited Away,2001,8.6,96,532765,86.0
